car_make,branch,first,second,third,fourth,fifth,sixth,destination,zone,customer_type,service_type
MERCEDES BENZ S550,KEMPINSKI,800,720,648,583,200,200,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ E300,KEMPINSKI,500,450,400,350,100,150,Accra,Within Accra,Guest,Wholeday
JAGUAR,KEMPINSKI,550,495,446,402,150,200,Accra,Within Accra,Guest,Wholeday
CHRYSLER C300 ,KEMPINSKI,300,270,243,219,80,150,Accra,Within Accra,Guest,Wholeday
VW PASSAT CC,KEMPINSKI,190,164,150,140,50,80,Accra,Within Accra,Guest,Wholeday
HYUNDAI SONATA,KEMPINSKI,170,144,130,120,40,60,Accra,Within Accra,Guest,Wholeday
HYUNDAI ELANTRA,KEMPINSKI,150,135,125,115,30,40,Accra,Within Accra,Guest,Wholeday
 TOYOTA LANDCRUISER ,KEMPINSKI,250,220,200,150,100,100,Accra,Within Accra,Guest,Wholeday
LAND ROVER DISCOVERY,KEMPINSKI,260,225,203,183,100,100,Accra,Within Accra,Guest,Wholeday
TOYOTA PRADO,KEMPINSKI,200,182,164,140,70,90,Accra,Within Accra,Guest,Wholeday
MITSUBISHI PAJERO,KEMPINSKI,160,144,130,120,50,80,Accra,Within Accra,Guest,Wholeday
VW TOUAREG,KEMPINSKI,230,210,200,190,70,100,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ VITO,KEMPINSKI,150,140,130,120,55,100,Accra,Within Accra,Guest,Wholeday
HYUNDAI H 1 VAN,KEMPINSKI,150,140,130,120,55,100,Accra,Within Accra,Guest,Wholeday
TOYOTA HIACE,KEMPINSKI,150,140,130,120,55,100,Accra,Within Accra,Guest,Wholeday
NISSAN URVAN,KEMPINSKI,150,140,130,120,55,100,Accra,Within Accra,Guest,Wholeday
TOYOTA COASTER (30) SEATER,KEMPINSKI,300,290,280,270,0,0,Accra,Within Accra,Guest,Wholeday
45/50 SEATER COACH,KEMPINSKI,1000,980,960,930,0,0,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ S550,KEMPINSKI,400,350,300,250,70,100,Accra,Within Accra,Corporate,Wholeday
MERCEDES BENZ E300,KEMPINSKI,250,200,180,150,50,75,Accra,Within Accra,Corporate,Wholeday
JAGUAR,KEMPINSKI,200,180,165,140,50,100,Accra,Within Accra,Corporate,Wholeday
CHRYSLER C300 ,KEMPINSKI,200,180,165,140,50,75,Accra,Within Accra,Corporate,Wholeday
VW PASSAT CC,KEMPINSKI,140,130,120,110,40,40,Accra,Within Accra,Corporate,Wholeday
HYUNDAI SONATA,KEMPINSKI,120,110,100,90,30,30,Accra,Within Accra,Corporate,Wholeday
HYUNDAI ELANTRA,KEMPINSKI,100,100,80,70,20,20,Accra,Within Accra,Corporate,Wholeday
 TOYOTA LANDCRUISER ,KEMPINSKI,190,175,160,140,50,50,Accra,Within Accra,Corporate,Wholeday
LAND ROVER DISCOVERY,KEMPINSKI,190,175,160,140,50,50,Accra,Within Accra,Corporate,Wholeday
TOYOTA PRADO,KEMPINSKI,140,125,115,100,45,45,Accra,Within Accra,Corporate,Wholeday
MITSUBISHI PAJERO,KEMPINSKI,130,110,100,90,40,40,Accra,Within Accra,Corporate,Wholeday
VW TOUAREG,KEMPINSKI,170,155,140,120,50,50,Accra,Within Accra,Corporate,Wholeday
MERCEDES BENZ VITO,KEMPINSKI,130,120,110,100,50,50,Accra,Within Accra,Corporate,Wholeday
HYUNDAI H 1 VAN,KEMPINSKI,130,120,110,100,50,50,Accra,Within Accra,Corporate,Wholeday
TOYOTA HIACE,KEMPINSKI,130,120,110,100,50,50,Accra,Within Accra,Corporate,Wholeday
NISSAN URVAN,KEMPINSKI,130,120,110,100,50,50,Accra,Within Accra,Corporate,Wholeday
TOYOTA COASTER (30) SEATER,KEMPINSKI,200,180,160,140,0,0,Accra,Within Accra,Corporate,Wholeday
45/50 SEATER COACH,KEMPINSKI,900,850,800,700,0,0,Accra,Within Accra,Corporate,Wholeday
MERCEDES BENZ E300,HEAD OFFICE,470,420,370,320,150,150,Accra,Within Accra,Guest,Wholeday
CHRYSLER C300,HEAD OFFICE,250,235,220,205,100,150,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ S550,HEAD OFFICE,800,720,648,583,200,200,Accra,Within Accra,Guest,Wholeday
JAGUAR,HEAD OFFICE,550,495,446,402,150,200,Accra,Within Accra,Guest,Wholeday
HYUNDAI SONATA,HEAD OFFICE,158,150,146,141,35,70,Accra,Within Accra,Guest,Wholeday
VW PASSAT CC,HEAD OFFICE,190,164,150,140,50,80,Accra,Within Accra,Guest,Wholeday
HYUNDAL ELANTRA,HEAD OFFICE,141,130,118,105,30,60,Accra,Within Accra,Guest,Wholeday
HYUNDAI ACCENT,HEAD OFFICE,118,108,94,83,25,60,Accra,Within Accra,Guest,Wholeday
 TOYOTA LANDCRUISER ,HEAD OFFICE,250,230,210,190,0,100,Accra,Within Accra,Guest,Wholeday
VW TOUAREG,HEAD OFFICE,230,210,200,190,70,100,Accra,Within Accra,Guest,Wholeday
MITSUBISHI PAJERO,HEAD OFFICE,160,152,142,130,100,100,Accra,Within Accra,Guest,Wholeday
TOYOTA PRADO,HEAD OFFICE,200,180,160,140,0,80,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ VITO,HEAD OFFICE,130,115,100,85,55,55,Accra,Within Accra,Guest,Wholeday
TOYOTA HIACE,HEAD OFFICE,130,115,100,85,55,55,Accra,Within Accra,Guest,Wholeday
NISSAN URVAN,HEAD OFFICE,130,115,100,85,55,55,Accra,Within Accra,Guest,Wholeday
HYUNDAI H1,HEAD OFFICE,130,115,100,85,55,55,Accra,Within Accra,Guest,Wholeday
TOYOTA COASTER (30) SEATER,HEAD OFFICE,300,290,280,270,0,0,Accra,Within Accra,Guest,Wholeday
45/50 SEATER COACH,HEAD OFFICE,1000,980,960,930,0,0,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ E300,MOVENPICK,470,420,370,320,150,150,Accra,Within Accra,Guest,Wholeday
CHRYSLER C300,MOVENPICK,305,285,265,245,100,150,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ S550,MOVENPICK,800,720,648,583,200,200,Accra,Within Accra,Guest,Wholeday
JAGUAR,MOVENPICK,550,495,446,402,150,200,Accra,Within Accra,Guest,Wholeday
HYUNDAI SONATA,MOVENPICK,170,150,146,141,35,70,Accra,Within Accra,Guest,Wholeday
VW PASSAT CC,MOVENPICK,190,164,150,140,50,80,Accra,Within Accra,Guest,Wholeday
HYUNDAL ELANTRA,MOVENPICK,141,130,118,105,30,60,Accra,Within Accra,Guest,Wholeday
HYUNDAI ACCENT,MOVENPICK,118,108,94,83,25,60,Accra,Within Accra,Guest,Wholeday
 TOYOTA LANDCRUISER ,MOVENPICK,250,230,210,190,0,100,Accra,Within Accra,Guest,Wholeday
VW TOUAREG,MOVENPICK,230,210,200,190,70,100,Accra,Within Accra,Guest,Wholeday
MITSUBISHI PAJERO,MOVENPICK,160,152,142,130,100,100,Accra,Within Accra,Guest,Wholeday
TOYOTA PRADO,MOVENPICK,200,180,160,140,0,80,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ VITO,MOVENPICK,160,140,120,100,55,55,Accra,Within Accra,Guest,Wholeday
TOYOTA HIACE,MOVENPICK,160,140,120,100,55,55,Accra,Within Accra,Guest,Wholeday
NISSAN URVAN,MOVENPICK,160,140,120,100,55,55,Accra,Within Accra,Guest,Wholeday
HYUNDAI H1,MOVENPICK,160,140,120,100,55,55,Accra,Within Accra,Guest,Wholeday
TOYOTA COASTER (30) SEATER,MOVENPICK,300,290,280,270,0,0,Accra,Within Accra,Guest,Wholeday
45/50 SEATER COACH,MOVENPICK,1000,980,960,930,0,0,Accra,Within Accra,Guest,Wholeday
MERCEDES BENZ E300,MOVENPICK,220,180,170,160,45,100,Accra,Within Accra,Corporate,Wholeday
MERCEDES BENZ S550,MOVENPICK,400,350,300,250,70,100,Accra,Within Accra,Corporate,Wholeday
JAGUAR,MOVENPICK,200,180,165,140,50,100,Accra,Within Accra,Corporate,Wholeday
CHRYSLER C300,MOVENPICK,150,130,120,110,40,100,Accra,Within Accra,Corporate,Wholeday
HYUNDAI SONATA,MOVENPICK,90,80,75,70,25,35,Accra,Within Accra,Corporate,Wholeday
VW PASSAT CC,MOVENPICK,140,130,120,110,40,40,Accra,Within Accra,Corporate,Wholeday
HYUNDAL ELANTRA,MOVENPICK,70,65,60,55,20,30,Accra,Within Accra,Corporate,Wholeday
HYUNDAI ACCENT,MOVENPICK,60,55,50,45,15,30,Accra,Within Accra,Corporate,Wholeday
MITSUBISHI PAJERO,MOVENPICK,120,110,100,100,40,60,Accra,Within Accra,Corporate,Wholeday
VW TOUAREG,MOVENPICK,170,155,140,120,50,50,Accra,Within Accra,Corporate,Wholeday
 TOYOTA LANDCRUISER ,MOVENPICK,250,230,210,190,0,0,Accra,Within Accra,Corporate,Wholeday
